State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Alabama,1373684,19786,1281319,72579,280162,4035,7858642,1602763,4903185
Alaska,264237,1252,253477,9508,361204,1711,4168793,5698615,731545
Arizona,2145765,30572,2049107,66086,294800,4200,20059804,2755953,7278717
Arkansas,876650,11608,849883,15159,290493,3847,7133780,2363898,3017804
California,10277797,92861,9427454,757482,260117,2350,176268408,4461111,39512223
Colorado,1554788,13421,1435540,105827,269988,2331,19062274,3310149,5758736
Connecticut,835385,11055,800887,23443,234311,3101,15534710,4357212,3565287
Delaware,287078,2998,277268,6812,294813,3079,1026007,1053651,973764
Florida,6605416,76193,6226938,302285,307547,3548,60303610,2807726,21477737
Georgia,2667557,38685,2545236,83636,251243,3644,25859141,2435538,10617423
Hawaii,313076,1524,286835,24717,221119,1076,4012295,2833798,1415872
Idaho,467770,4993,449589,13188,261753,2794,3017501,1688523,1787065
Illinois,3462948,38660,3286903,137385,273279,3051,57898053,4569040,12671821
Indiana,1787059,23948,1614953,148158,265449,3557,20319890,3018305,6732219
Iowa,907607,9703,866377,31527,287666,3075,8492575,2691723,3155070
Kansas,812329,8961,781519,21849,278833,3076,2269976,779173,2913314
Kentucky,1414766,16216,1344300,54250,316667,3630,13675281,3060940,4467673
Louisiana,1326364,17431,1259675,49258,285314,3750,16139023,3471658,4648794
Maine,271596,2461,263110,6025,202048,1831,5434582,4042950,1344212
Maryland,1145444,14835,1089256,41353,189465,2454,21968720,3633788,6045680
Massachusetts,1936447,21035,1895979,19433,280950,3052,46191532,6701706,6892503
Michigan,2619533,36982,2520939,61612,262298,3703,26071142,2610545,9986857
Minnesota,1561487,13161,1542116,6210,276877,2334,19479012,3453951,5639632
Mississippi,845205,12545,800807,31853,283993,4215,6731908,2261953,2976149
Missouri,1509862,20779,1423679,65404,246009,3386,14632189,2384091,6137428
Montana,289345,3450,283195,2700,270725,3228,2789012,2609534,1068778
Nebraska,504109,4345,486142,13622,260601,2246,5506012,2846355,1934408
Nevada,782040,11074,717164,53802,253896,3595,6875532,2232203,3080156
New Hampshire,333789,2602,328482,2705,245485,1914,4845153,3563370,1359711
New Jersey,2517834,34107,2288325,195402,283470,3840,17885018,2013582,8882190
New Mexico,570866,7963,528491,34412,272252,3798,7487374,3570808,2096829
New York,5835983,70302,5695563,70118,299996,3614,114376652,5879471,19453561
North Carolina,2892680,25257,2825044,42379,275806,2408,26356209,2512967,10488084
North Dakota,251572,2296,246941,2335,330120,3013,618121,811116,762062
Ohio,2867291,38920,2774862,53509,245296,3330,22345248,1911631,11689100
Oklahoma,1082397,14473,1053324,14600,273542,3658,5473577,1383274,3956971
Oregon,823249,7851,747603,67795,195187,1861,11999720,2845061,4217737
Pennsylvania,3021110,45838,2932234,43038,235988,3581,27112280,2117818,12801989
Rhode Island,404604,3615,393059,7930,381932,3412,8204258,7744535,1059361
South Carolina,1535392,18007,1465908,51477,298209,3497,16770921,3257303,5148714
South Dakota,245705,2940,239466,3299,277740,3323,2234449,2525774,884659
Tennessee,2139625,26767,2087535,25323,313307,3920,13332773,1952326,6829174
Texas,7263378,89291,6899396,274691,250497,3079,67646708,2332976,28995881
Utah,989767,4847,963109,21811,308727,1512,9406861,2934181,3205958
Vermont,136145,687,132766,2692,218185,1101,3975987,6371886,623989
Virginia,1890973,20740,1793862,76371,221542,2430,19172533,2246206,8535519
Washington,1684668,13344,1590866,80458,221233,1752,16113404,2116038,7614893
West Virginia,537443,7069,527946,2428,299888,3944,6429143,3587397,1792147
Wisconsin,1738219,14836,1676381,47002,298538,2548,17041021,2926786,5822434
Wyoming,165619,1834,161506,2279,286162,3169,1453228,2510938,578759
